,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,san patricio,20,ML,1546898105,30,13.3,-4.9,70.12,9.64
1,atuona,76,PF,1546898126,100,-9.8,-139.03,81.37,16.69
2,isangel,24,VU,1546898121,100,-19.55,169.27,77.41,18.03
3,clyde river,0,NZ,1546898144,65,-45.19,169.32,56.44,2.37
4,port alfred,90,FR,1546896600,80,46.16,5.57,39.2,3.36
5,sao miguel,0,IN,1546898398,77,20.51,76.21,45.78,5.5
6,havre-saint-pierre,20,CA,1546894800,50,50.23,-63.6,8.6,9.17
7,punta arenas,56,PH,1546898066,100,11.01,124.6,74.13,11.32
8,cape town,90,FR,1546896600,74,43.58,0.42,37.4,6.93
9,hamilton,40,BM,1546894500,59,32.3,-64.78,60.8,25.28
10,lebu,0,ET,1546894800,34,8.96,38.73,51.8,4.7
11,beira,0,ES,1546896600,100,43.2,-8.36,41.0,3.36
12,vrangel,0,RU,1546898400,100,42.73,133.08,19.54,19.26
13,ribeira grande,20,BR,1546894800,52,-22.83,-43.17,98.6,8.05
14,grand gaube,90,FR,1546896600,93,48.39,5.49,41.0,13.87
15,fairbanks,40,US,1546893780,65,64.84,-147.72,-38.21,4.16
16,luena,8,AO,1546898401,96,-11.78,19.91,65.17,5.06
17,huacho,0,PE,1546898269,67,-11.11,-77.61,75.52,5.39
18,kurchum,0,KZ,1546898165,71,48.57,83.65,24.04,28.77
19,mahroni,0,IN,1546898403,83,24.59,78.73,49.96,3.94
20,sibolga,36,ID,1546898489,100,1.74,98.78,68.1,2.04
21,beloha,12,MG,1546898188,92,-25.17,45.06,71.47,5.95
22,vaini,0,IN,1546898103,80,15.34,74.49,59.46,3.49
23,provideniya,0,RU,1546898078,100,64.42,-173.23,3.75,29.77
24,cabo san lucas,90,US,1546896900,87,35.43,-88.47,62.6,5.82
25,nabire,12,ID,1546898183,96,-3.36,135.5,67.2,2.15
26,male,48,UA,1546898406,75,50.74,33.7,9.87,2.82
27,busselton,0,AU,1546898087,100,-33.64,115.35,60.04,21.72
28,fartura,12,BR,1546898407,67,-23.39,-49.51,83.62,11.65
29,hobart,20,AU,1546896600,59,-42.88,147.33,64.4,8.05
30,fortuna,20,ES,1546896600,87,38.18,-1.13,50.0,5.82
31,iwanai,76,JP,1546898493,100,42.97,140.51,29.58,17.02
32,mataura,64,NZ,1546898070,62,-46.19,168.86,60.72,14.23
33,zharkent,0,KZ,1546898409,23,44.17,80.0,-19.43,1.59
34,lazarev,0,RU,1546898410,49,52.23,141.51,-2.78,10.31
